[2025-01-27T19:46:12.132+0000] {processor.py:186} INFO - Started process (PID=80) to work on /home/airflow/.local/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2025-01-27T19:46:12.134+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-01-27T19:46:12.137+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.137+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2025-01-27T19:46:12.167+0000] {processor.py:925} INFO - DAG(s) 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_produces_1', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_consumes_1_and_2', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_2' retrieved from /home/airflow/.local/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2025-01-27T19:46:12.238+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.237+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-01-27T19:46:12.274+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.274+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-01-22T01:00:00+00:00, run_after=2025-01-22T01:00:00+00:00
[2025-01-27T19:46:12.280+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.279+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-01-27T19:46:12.282+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.282+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-01-27T19:46:12.285+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.284+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-01-27T19:46:12.287+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.287+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-01-27T19:46:12.289+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.289+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-01-27T19:46:12.291+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.291+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-01-27T19:46:12.293+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.292+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-01-27T19:46:12.296+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.296+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-01-26T00:00:00+00:00, run_after=2025-01-27T00:00:00+00:00
[2025-01-27T19:46:12.297+0000] {logging_mixin.py:190} INFO - [2025-01-27T19:46:12.297+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-01-27T19:46:12.343+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py took 0.218 seconds
